"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_44","MAPK1","0.095","0.905","1","high"
"hpc_41","MAPK1","0.204","0.796","1","high"
"hpc_1","MAPK14","0.063","0.937","1","high"
"hpc_21","MAPK14","0.086","0.914","1","high"
"hpc_20","MAPK14","0.12","0.88","1","high"
"hpc_27","MAPK14","0.075","0.925","1","high"
"hpc_22","MAPK14","0.066","0.934","1","high"
"hpc_14","MAPK14","0.087","0.913","1","high"
"hpc_10","MAPK14","0.242","0.758","1","high"
"hpc_16","MAPK14","0.078","0.922","1","high"
"hpc_15","MAPK14","0.076","0.924","1","high"
"hpc_31","SRC","0.158","0.842","1","high"
"hpc_3","SRC","0.161","0.839","1","high"
"hpc_37","SRC","0.117","0.883","1","high"
"hpc_32","SRC","0.137","0.863","1","high"
"hpc_21","SRC","0.116","0.884","1","high"
"hpc_20","SRC","0.143","0.857","1","high"
"hpc_27","SRC","0.118","0.882","1","high"
"hpc_22","SRC","0.1","0.9","1","high"
"hpc_39","SRC","0.135","0.865","1","high"
"hpc_10","ATM","0.109","0.891","1","low"
"hpc_9","SRC","0.16","0.84","1","high"
"hpc_15","ATM","0.133","0.867","1","low"
"hpc_14","ATM","0.084","0.916","1","low"
"hpc_44","SRC","0.132","0.868","1","high"
"hpc_41","SRC","0.239","0.761","1","high"
"hpc_8","SRC","0.108","0.892","1","high"
"hpc_7","SRC","0.215","0.785","1","high"
"hpc_39","PLK1","0.335","0.665","1","high"
"hpc_37","PLK1","0.31","0.69","1","high"
"hpc_44","PLK1","0.367","0.633","1","high"
"hpc_41","PLK1","0.737","0.263","1","high"
"hpc_3","PLK1","0.255","0.745","1","high"
"hpc_22","PLK1","0.748","0.252","1","high"
"hpc_32","PLK1","0.334","0.666","1","high"
"hpc_31","PLK1","0.316","0.684","1","high"
"hpc_7","PLK1","0.237","0.763","1","high"
"hpc_14","SRC","0.146","0.854","1","high"
"hpc_10","SRC","0.169","0.831","1","high"
"hpc_16","SRC","0.103","0.897","1","high"
"hpc_15","SRC","0.129","0.871","1","high"
"hpc_9","PLK1","0.188","0.812","1","high"
"hpc_8","PLK1","0.478","0.522","1","high"
"hpc_1","SRC","0.082","0.918","1","high"
"hpc_0","SRC","0.194","0.806","1","high"
"hpc_32","MAPK1","0.101","0.899","1","high"
"hpc_16","LCK","0.658","0.342","1","high"
"hpc_15","LCK","0.265","0.735","1","high"
"hpc_21","LCK","0.369","0.631","1","high"
"hpc_20","LCK","0.56","0.44","1","high"
"hpc_1","LCK","0.428","0.572","1","high"
"hpc_9","GSK3B","0.102","0.898","1","high"
"hpc_14","LCK","0.746","0.254","1","high"
"hpc_10","LCK","0.299","0.701","1","high"
"hpc_22","LCK","0.312","0.688","1","high"
"hpc_39","LCK","0.74","0.26","1","high"
"hpc_37","LCK","0.433","0.567","1","high"
"hpc_44","LCK","0.429","0.571","1","high"
"hpc_41","LCK","0.594","0.406","1","high"
"hpc_3","LCK","0.445","0.555","1","high"
"hpc_27","LCK","0.314","0.686","1","high"
"hpc_32","LCK","0.36","0.64","1","high"
"hpc_31","LCK","0.735","0.265","1","high"
"hpc_21","GSK3B","0.094","0.906","1","high"
"hpc_20","GSK3B","0.084","0.916","1","high"
"hpc_27","GSK3B","0.098","0.902","1","high"
"hpc_22","GSK3B","0.076","0.924","1","high"
"hpc_14","GSK3B","0.087","0.913","1","high"
"hpc_10","GSK3B","0.123","0.877","1","high"
"hpc_16","GSK3B","0.083","0.917","1","high"
"hpc_15","GSK3B","0.077","0.923","1","high"
"hpc_3","GSK3B","0.085","0.915","1","high"
"hpc_44","GSK3B","0.085","0.915","1","high"
"hpc_41","GSK3B","0.161","0.839","1","high"
"hpc_8","GSK3B","0.088","0.912","1","high"
